Word,Hiragana,Meaning,Example
原料,げんりょう,raw material,この工場では木材が原料として使われています。 (Wood is used as a raw material in this factory.)
危ない,あぶない,dangerous,その道は夜は危ないです。 (That road is dangerous at night.)
防ぐ,ふせぐ,to prevent,事故を防ぐために注意してください。 (Please be careful to prevent accidents.)
格安,かくやす,cheap; reasonable price,この店は格安の価格で商品を提供しています。 (This store offers products at a reasonable price.)
右折,うせつ,right turn,次の信号で右折してください。 (Please turn right at the next traffic light.)
快適,かいてき,comfortable,このソファはとても快適です。 (This sofa is very comfortable.)
手術,しゅじゅつ,surgery,彼は膝の手術を受けました。 (He had knee surgery.)
配送料,はいそうりょう,shipping fee,配送料は無料です。 (The shipping fee is free.)
米国,べいこく,United States,彼は米国から来ました。 (He came from the United States.)
表す,あらわす,to express; to represent,彼の顔は喜びを表しています。 (His face expresses joy.)
要求,ようきゅう,demand; request,彼は給料の引き上げを要求しました。 (He demanded a salary increase.)
結局,けっきょく,after all; in the end,結局、彼は来ませんでした。 (In the end, he didn't come.)
困難,こんなん,difficulty; hardship,彼は多くの困難を乗り越えました。 (He overcame many difficulties.)
公務員,こうむいん,public servant,彼は市役所で働く公務員です。 (He is a public servant working at the city hall.)
回復,かいふく,recovery,彼は事故から回復しました。 (He recovered from the accident.)
混ぜる,まぜる,to mix,材料をよく混ぜてください。 (Please mix the ingredients well.)
上達,じょうたつ,improvement; progress,彼の日本語は上達しています。 (His Japanese is improving.)
返す,かえす,to return (something),本を図書館に返しました。 (I returned the book to the library.)
救助,きゅうじょ,rescue,消防士が山で遭難者を救助しました。 (The firefighter rescued the lost person in the mountains.)
座る,すわる,to sit,その椅子に座ってください。 (Please sit on that chair.)
故障,こしょう,breakdown; failure,車が故障して動かなくなりました。 (The car broke down and wouldn't move.)
冊,さつ,counter for books,この本は三冊あります。 (There are three copies of this book.)
部分,ぶぶん,part; portion,文章の一部分を読みました。 (I read part of the article.)
人形,にんぎょう,doll; puppet,子供は人形で遊んでいます。 (The child is playing with dolls.)
祝日,しゅくじつ,holiday,今日は祝日で学校は休みです。 (Today is a holiday, so school is closed.)
眠い,ねむい,sleepy,夜遅くまで起きていたので眠いです。 (I'm sleepy because I stayed up late last night.)
交際,こうさい,association; dating,彼らは一年間交際しています。 (They have been dating for a year.)
投げる,なげる,to throw,ボールを遠くに投げました。 (I threw the ball far.)
記入,きにゅう,entry; filling out,フォームに必要事項を記入してください。 (Please fill out the required information on the form.)
間違える,まちがえる,to make a mistake,計算を間違えました。 (I made a mistake in the calculation.)
正確,せいかく,accurate; precise,彼の答えは正確でした。 (His answer was accurate.)
数える,かぞえる,to count,手を使って数を数えます。 (I count numbers using my hands.)
文房具,ぶんぼうぐ,stationery,文房具店でペンを買いました。 (I bought a pen at the stationery store.)
歩道橋,ほどうきょう,pedestrian bridge,駅前に歩道橋があります。 (There is a pedestrian bridge in front of the station.)
書類,しょるい,document,重要な書類を忘れないようにしてください。 (Please don't forget the important documents.)
通勤,つうきん,commuting,毎日電車で通勤しています。 (I commute by train every day.)
持ち帰り,もちかえり,takeout; takeaway,この料理は持ち帰りできますか？ (Can I take this dish to go?)
接続,せつぞく,connection; link,インターネットの接続が遅いです。 (The internet connection is slow.)
易しい,やさしい,easy; kind,この問題は易しいです。 (This problem is easy.)
禁煙,きんえん,no smoking,このレストランは禁煙です。 (This restaurant is non-smoking.)
倍,ばい,times; double,彼の給料は去年の倍になりました。 (His salary doubled compared to last year.)
乾燥,かんそう,dryness; dehydration,冬は空気が乾燥しています。 (The air is dry in winter.)
救急車,きゅうきゅうしゃ,ambulance,事故現場に救急車が到着しました。 (The ambulance arrived at the accident site.)
欠ける,かける,to be missing; to lack,皿の一部が欠けています。 (A part of the plate is missing.)
